trial 	#th 	32768 	65536 	131072
1	4	8.935216e+01	3.569270e+02	
2	4	9.146969e+01	3.582517e+02	
3	4	9.346647e+01	3.627163e+02	
4	4	9.194062e+01	3.571957e+02	
5	4	8.962527e+01	3.569434e+02	
6	4	8.996589e+01	3.576700e+02	
7	4	9.046873e+01	3.587630e+02	
8	4	9.066607e+01	3.559969e+02	
9	4	9.172462e+01	3.544625e+02	
10	4	9.027293e+01	3.581990e+02	

1	6	6.175766e+01	2.461361e+02	
2	6	6.258057e+01	2.462090e+02	
3	6	6.427483e+01	2.513784e+02	
4	6	6.442763e+01	2.467973e+02	
5	6	6.270935e+01	2.496555e+02	
6	6	6.428402e+01	2.453390e+02	
7	6	6.280657e+01	2.486876e+02	
8	6	6.364228e+01	2.482586e+02	
9	6	6.433105e+01	2.520639e+02	
10	6	6.483306e+01	2.457354e+02	

1	8		2.106078e+02	8.407803e+02	
2	8		2.117840e+02	8.386822e+02	
3	8		2.098154e+02	8.327033e+02	
4	8		2.110302e+02	8.391937e+02	
5	8		2.123491e+02	8.387468e+02	
6	8		2.131149e+02	8.237015e+02	
7	8		2.063690e+02	8.227712e+02	
8	8		2.061646e+02	8.242618e+02	
9	8		2.061073e+02	8.236667e+02	
10	8		2.062602e+02	8.972762e+02	

1	12		1.874146e+02	7.383733e+02	
2	12		1.906571e+02	7.367605e+02	
3	12		1.898578e+02	7.357277e+02	
4	12		1.883307e+02	7.773564e+02	
5	12		2.103956e+02	8.153458e+02	
6	12		2.078837e+02	8.144652e+02	
7	12		2.073761e+02	8.540908e+02	
8	12		2.490134e+02	1.090332e+03	
9	12		2.838994e+02	1.175011e+03	
10	12		3.906823e+02	1.445422e+03	

1	16		1.038154e+02	4.127813e+02	
2	16		1.035186e+02	4.134391e+02	
3	16		1.035099e+02	4.128086e+02	
4	16		1.038355e+02	4.124277e+02	
5	16		1.037715e+02	4.123666e+02	
6	16		1.038504e+02	4.127972e+02	
7	16		1.038459e+02	4.128026e+02	
8	16		1.037455e+02	4.128589e+02	
9	16		1.037984e+02	4.136195e+02	
10	16		1.037061e+02	4.127764e+02	

